order_id,order_date,customer_id,customer_segment,region,product_category,sales_channel,quantity,unit_price,revenue,cost,discount_pct,order_status,currency
ORD-100243,2024-05-29,CUST-0224,Retail,Alexandria,Groceries,Store,8,102.7,821.61,684.24,0.15,Completed,EGP
ORD-100208,2023-06-27,CUST-0088,Retail,Giza,Furniture,Online,1,3453.33,3453.33,2242.48,0.002,Completed,EGP
ORD-100542,2024-06-02,CUST-0191,Retail,Cairo,Clothing,Store,5,210.2,1051.02,829.86,0.217,Completed,EGP
ORD-100261,2023-03-03,CUST-0044,Wholesale,Cairo,Clothing,Online,56,504.03,28225.59,21466.28,0.065,Cancelled,EGP
ORD-100193,2024-11-17,CUST-0285,Retail,Alexandria,Stationery,Phone,2,103.85,207.71,171.02,,Completed,EGP
ORD-100932,2024-02-13,CUST-0088,Corporate,Alexandria,Electronics,Phone,7,3742.73,26199.1,19997.36,0.09,Completed,EGP
ORD-100598,2024-06-22,CUST-0295,Wholesale,Mansoura,Furniture,Online,18,2215.93,39886.76,22063.93,0.031,Completed,EGP
ORD-100082,2023-12-01,CUST-0002,Retail,Mansoura,Electronics,Online,4,4440.42,17761.67,10627.05,,Returned,EGP
ORD-100934,2023-01-31,CUST-0202,Wholesale,Alexandria,Groceries,Phone,32,149.69,4790.05,3138.91,0.136,Completed,EGP
ORD-100737,2023-09-20,CUST-0044,Corporate,Giza,Groceries,Store,4,111.74,446.96,283.58,0.07,Completed,EGP
ORD-100315,2023-08-19,CUST-0206,Retail,Alexandria,Stationery,Store,3,56.76,170.29,136.05,0.18,Completed,EGP
ORD-101134,2024-10-16,CUST-0297,Corporate,Alexandria,Groceries,Online,7,118.98,832.84,566.34,0.217,Completed,EGP
ORD-100032,2023-11-30,CUST-0115,Retail,Cairo,Groceries,Online,4,168.09,672.34,469.02,0.05,Completed,EGP
ORD-100298,2023-02-05,CUST-0067,Retail,Mansoura,Electronics,Store,2,2973.65,5947.3,4919.7,0.147,Completed,EGP
ORD-100495,2023-10-11,CUST-0170,Retail,Cairo,Clothing,Online,5,368.4,1842.01,1400.85,,Returned,EGP
ORD-101057,2024-02-19,CUST-0255,Retail,Cairo,Clothing,Phone,8,386.33,3090.62,2590.5,0.09,Completed,EGP
ORD-100052,2023-11-07,CUST-0075,Wholesale,Cairo,Clothing,Store,18,807.36,14532.55,10838.13,0.047,Completed,EGP
ORD-100760,2023-09-10,CUST-0206,Retail,Mansoura,Groceries,Store,5,85.46,427.29,259.08,0.055,Completed,EGP
ORD-100333,2023-11-16,CUST-0137,Retail,Cairo,Electronics,Store,2,2709.58,5419.15,3700.71,0.107,Completed,EGP
ORD-100435,2023-12-02,CUST-0021,Retail,Alexandria,Groceries,Online,5,141.35,706.74,400.42,0.124,Returned,EGP
ORD-100071,2024-11-18,CUST-0004,Wholesale,Alexandria,Clothing,Online,64,503.95,32253.09,19840.27,,Completed,EGP
ORD-101059,2023-06-05,CUST-0215,Retail,Mansoura,Clothing,Phone,2,460.09,920.19,750.36,0.062,Completed,EGP
ORD-100765,2024-01-22,CUST-0203,Retail,Cairo,Electronics,Store,6,2828.24,16969.41,14240.72,0.11,Completed,EGP
ORD-100941,2023-03-09,CUST-0109,Wholesale,Giza,Clothing,Store,12,318.99,3827.9,2232.4,0.103,Completed,EGP
ORD-100938,2024-07-24,CUST-0246,Corporate,Cairo,Furniture,Online,4,1548.2,6192.79,4240.28,0.058,Completed,EGP
ORD-101063,2023-09-08,CUST-0147,Retail,Alexandria,Groceries,Store,1,146.52,146.52,117.28,,Cancelled,EGP
ORD-100312,2024-02-04,CUST-0260,Wholesale,Cairo,Clothing,Online,8,519.26,4154.1,2406.03,0.046,Returned,EGP
ORD-100764,2024-06-26,CUST-0059,Retail,Alexandria,Furniture,Store,7,1383.92,9687.47,7425.12,0.022,Completed,EGP
ORD-100380,2024-11-14,CUST-0300,Corporate,Cairo,Electronics,Store,8,3214.97,25719.79,16554.54,0.041,Completed,EGP
ORD-100357,2023-05-09,CUST-0100,Wholesale,Cairo,Groceries,Online,25,134.42,3360.56,2040.29,0.245,Completed,EGP
ORD-100902,2024-07-02,CUST-0048,Retail,,Groceries,Store,8,155.56,1244.47,810.78,0.223,Completed,EGP
ORD-100912,2024-09-21,CUST-0139,Wholesale,Cairo,Furniture,Store,40,1730.94,69237.54,51032.26,,Completed,EGP
ORD-101036,2024-05-23,CUST-0192,Retail,Cairo,Clothing,Store,4,352.26,1409.03,857.15,0.143,Completed,EGP
ORD-100461,2023-10-30,CUST-0175,Wholesale,Mansoura,Groceries,Online,35,129.63,4537.07,2584.38,0.195,Cancelled,EGP
ORD-100284,2024-09-13,CUST-0018,Corporate,Cairo,Electronics,Online,121,2126.01,257247.21,180073.05,0.021,Completed,EGP
ORD-100747,2023-08-20,CUST-0038,Retail,Cairo,Furniture,Store,1,1467.83,1467.83,901.99,0.138,Completed,EGP
ORD-100358,2024-10-07,CUST-0158,Corporate,Cairo,Clothing,Phone,7,429.49,3006.43,2003.22,0.068,Completed,EGP
ORD-100731,2024-07-09,CUST-0201,Wholesale,Alexandria,Electronics,Store,25,2128.1,53202.41,37301.39,,Completed,EGP
ORD-100409,2023-12-23,CUST-0039,Retail,Mansoura,Groceries,Store,4,237.34,949.34,767.26,0.219,Completed,EGP
ORD-100562,2023-10-26,CUST-0038,Wholesale,Alexandria,Clothing,Phone,28,273.76,7665.33,5760.87,,Completed,EGP
ORD-100837,2024-09-08,CUST-0075,Corporate,Cairo,Stationery,Store,6,78.03,468.18,319.37,0.146,Cancelled,EGP
ORD-100721,2023-01-19,CUST-0144,Retail,,Groceries,Online,4,122.51,490.04,352.8,0.004,Completed,EGP
ORD-100027,2024-11-02,CUST-0072,Retail,Mansoura,Clothing,Store,6,815.09,4890.54,3143.51,0.093,Completed,EGP
ORD-100064,2023-11-08,CUST-0246,Retail,Aswan,Groceries,Online,2,155.37,310.75,249.2,0.182,Completed,EGP
ORD-101055,2023-06-11,CUST-0200,Retail,Cairo,Electronics,Store,2,1790.77,3581.55,2991.58,0.056,Completed,EGP
ORD-100368,2024-05-25,CUST-0189,Retail,Cairo,Clothing,Store,3,436.7,1310.09,740.69,0.231,Completed,EGP
ORD-100283,2023-10-17,CUST-0102,Wholesale,Alexandria,Furniture,Online,15,2730.54,40958.14,34131.75,0.201,Completed,EGP
ORD-100642,2023-12-30,CUST-0005,Retail,Aswan,Electronics,Online,7,3150.16,22051.1,13530.51,0.163,Completed,EGP
ORD-100345,2023-06-03,CUST-0271,Retail,Cairo,Electronics,Online,4,3127.27,12509.09,10209.03,0.077,Completed,EGP
ORD-100135,2023-10-13,CUST-0220,Wholesale,Mansoura,Stationery,Phone,49,64.16,3143.66,2140.55,0.088,Completed,EGP
ORD-100036,2024-10-08,CUST-0310,Retail,Cairo,Clothing,Online,7,322.62,2258.33,1420.15,0.1,Completed,EGP
ORD-100176,2023-07-10,CUST-0195,Retail,Aswan,Clothing,Store,1,318.38,318.38,187.79,0.139,Cancelled,EGP
ORD-100458,2023-11-27,CUST-0204,Corporate,Cairo,Clothing,Online,7,675.18,4726.27,3817.42,,Returned,EGP
ORD-100651,2024-02-07,CUST-0072,Corporate,Cairo,Groceries,Online,1,127.7,127.7,104.95,0.248,Completed,EGP
ORD-100174,2023-05-28,CUST-0040,Wholesale,Giza,Groceries,Store,21,107.52,2257.84,1723.65,0.02,Completed,EGP
ORD-100362,2023-05-12,CUST-0085,Corporate,Giza,Electronics,Store,6,2035.47,12212.8,6872.18,0.223,Cancelled,EGP
ORD-100514,2023-10-09,CUST-0126,Retail,Cairo,Electronics,Store,5,1635.88,8179.42,6651.16,0.174,Completed,EGP
ORD-100106,2024-05-31,CUST-0210,Retail,Mansoura,Groceries,Online,7,152.85,1069.93,828.97,0.016,Completed,EGP
ORD-100582,2023-10-27,CUST-0030,Retail,Alexandria,Stationery,Store,3,75.84,227.51,149.18,0.195,Completed,EGP
ORD-101177,2024-04-25,CUST-0268,Retail,Cairo,Furniture,Store,5,1833.65,9168.23,5841.19,0.204,Completed,EGP
ORD-100525,2023-03-05,CUST-0206,Corporate,Alexandria,Groceries,Store,6,122.73,736.37,534.19,0.148,Completed,EGP
